scaleFactor;3;
//;worldTextureTile;0;0;0;0;0;1;cryo_area_1.png;

player;50;50;24;20;player.png;
bulletTexture;bullet_1.png;-1;

//;gameScript;test_GS;


spawnPoint;5;100;100;enemy_test.txt;enemy_test.txt;

namedAnimatorSprite;perm_playerTex;player.png;289;540;1;2;
namedWall;283;556;283;524;starting_door;
interactable;messageSender;283;540;{,,messages,3,0,{,,editNamedWall,3,0,{,,starting_door,0,}}{,,editNamedAnimatorSprite,3,0,{,,perm_playerTex,,0,,,}}};10000;

interactable;messageSender;0;0;{,,openMenu,0,3,{,,advanceLevel.txt,}{,,advanceLevel,}};100;

tileMap;tileMapTest.txt;


wall;144;76;144;301;
wall;144;301;174;299;
wall;174;299;173;329;
wall;173;329;110;330;
wall;110;330;111;428;
wall;111;428;301;430;
wall;301;430;303;521;
wall;303;521;272;522;
wall;272;522;273;460;
wall;273;460;48;458;
wall;48;458;47;587;
wall;47;587;270;589;
wall;270;589;271;557;
wall;271;557;301;556;
wall;301;556;304;683;
wall;304;683;271;684;
wall;271;684;273;620;
wall;273;620;47;619;
wall;47;619;48;748;
wall;48;748;271;748;
wall;271;748;272;718;
wall;272;718;302;719;
wall;302;719;304;747;
wall;304;747;399;747;
wall;399;747;399;525;
wall;399;525;464;522;
wall;464;522;465;268;
wall;465;268;558;268;
wall;558;268;559;299;
wall;559;299;495;299;
wall;495;299;495;522;
wall;495;522;557;523;
wall;557;523;559;556;
wall;559;556;431;553;
wall;431;553;429;777;
wall;401;78;141;75;
wall;400;141;400;76;
wall;656;782;656;592;
wall;656;592;720;587;
wall;720;587;719;555;
wall;719;555;591;553;
wall;591;553;593;523;
wall;593;523;654;523;
wall;654;523;655;300;
wall;655;300;593;299;
wall;593;299;593;268;
wall;593;268;686;268;
wall;686;268;687;521;
wall;687;521;720;524;
wall;720;524;721;462;
wall;721;462;750;462;
wall;750;462;752;491;
wall;752;491;783;492;
wall;783;492;784;523;
wall;784;523;816;525;
wall;816;525;817;554;
wall;817;554;845;554;
wall;845;554;848;587;
wall;848;587;879;588;
wall;879;588;880;619;
wall;880;619;848;616;
wall;848;616;847;716;
wall;847;716;943;715;
wall;943;715;943;621;
wall;943;621;911;618;
wall;911;618;912;589;
wall;912;589;943;588;
wall;943;588;945;556;
wall;945;556;974;554;
wall;974;554;975;523;
wall;975;523;1007;524;
wall;1007;524;1007;492;
wall;1007;492;1039;490;
wall;1039;490;1041;458;
wall;1041;458;1135;460;
wall;1135;460;1136;684;
wall;1136;684;1232;684;
wall;1232;684;1233;428;
wall;1233;428;1202;428;
wall;1202;428;1199;104;
wall;1199;104;1138;107;
wall;1138;107;1136;42;
wall;1136;42;946;41;
wall;946;41;946;75;
wall;946;75;1037;77;
wall;1037;77;1039;106;
wall;1039;106;911;106;
wall;911;106;910;43;
wall;910;43;689;44;
wall;689;44;687;75;
wall;687;75;623;74;
wall;623;74;624;43;
wall;624;43;430;40;
wall;430;40;430;138;
wall;430;138;398;140;
wall;623;781;622;589;
wall;622;589;593;586;
wall;593;586;591;620;
wall;591;620;465;621;
wall;465;621;463;651;

wall;400;330;206;331;
wall;206;331;208;300;
wall;208;300;400;298;
wall;400;298;401;171;
wall;401;171;429;171;
wall;429;171;431;203;
wall;431;203;624;202;
wall;624;202;624;109;
wall;624;109;653;108;
wall;653;108;688;106;
wall;688;106;688;138;
wall;688;138;784;141;
wall;784;141;784;235;
wall;784;235;877;236;
wall;877;236;879;299;
wall;879;299;848;300;
wall;848;300;846;330;
wall;846;330;816;333;
wall;816;333;815;362;
wall;815;362;784;361;
wall;784;361;783;393;
wall;783;393;753;393;
wall;753;393;752;428;
wall;752;428;719;429;
wall;719;429;718;237;
wall;718;237;429;235;
wall;429;235;431;493;
wall;431;493;399;495;
wall;399;495;401;458;
wall;401;458;337;458;
wall;337;458;338;426;
wall;338;426;398;429;
wall;398;429;398;330;
wall;815;204;816;141;
wall;816;141;975;139;
wall;975;139;976;204;
wall;976;204;1101;204;
wall;1101;204;1103;302;
wall;1103;302;1165;300;
wall;1165;300;1166;427;
wall;1166;427;1041;427;
wall;1041;427;1040;397;
wall;1040;397;1009;396;
wall;1009;396;1007;365;
wall;1007;365;975;365;
wall;975;365;975;333;
wall;975;333;944;332;
wall;944;332;942;301;
wall;942;301;913;298;
wall;913;298;910;202;
wall;910;202;815;203;
wall;879;107;719;106;
wall;719;106;720;76;
wall;720;76;879;76;
wall;879;76;878;106;
wall;1137;269;1136;142;
wall;1136;142;1166;139;
wall;1166;139;1168;268;
wall;1168;268;1135;269;
wall;1103;170;1007;171;
wall;1007;171;1007;139;
wall;1007;139;1071;139;
wall;1071;139;1071;75;
wall;1071;75;1104;77;
wall;1104;77;1105;171;
